XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,RESULTANT,time,ACTIVITY
5.833805,-7.355823,0.15352762,50.761734,47.36937,42.476433,2.886152,2.893023,2.2042878,0.24559367,0.2764413,0.21361223,10.840125,2021-01-01 09:00:00,0
3.4516242,-8.569389,1.9949574,44.02458,46.46503,40.905952,1.9897949,2.458778,2.1077838,0.17252754,0.22579172,0.20487453,10.473594,2021-01-01 09:00:10,0
-2.0779095,9.614821,-0.8696665,41.48907,47.141388,39.10341,1.7293099,2.578271,1.4448588,0.15969871,0.20759423,0.14069831,10.104997,2021-01-01 09:00:20,0
4.8711715,-7.795998,2.3645475,42.144844,45.56245,40.10271,2.005777,2.0901926,1.9265176,0.16711728,0.19821337,0.18451977,10.491824,2021-01-01 09:00:30,0
-0.66668785,9.681565,-0.5101538,41.880383,46.989056,38.027203,1.7184094,2.6670568,1.5886765,0.16009858,0.23491934,0.15378031,10.1875,2021-01-01 09:00:40,0
1.9200189,-9.43006,0.5258517,62.05531,62.30917,49.560406,3.344101,4.407482,3.3474808,0.2996467,0.43006214,0.3350806,11.580229,2021-01-01 09:00:50,0
-0.8948171,-9.5979395,1.2737889,58.593765,71.9089,50.954838,3.7580166,4.2968526,3.449887,0.3298904,0.41647458,0.3584407,12.096579,2021-01-01 09:01:00,0
1.6983206,9.435125,-0.80797327,41.359035,39.233345,35.131733,2.4134016,2.9575267,2.0852926,0.22157618,0.26707998,0.20791744,10.58123,2021-01-01 09:01:10,0
-1.8795366,9.625563,-0.84255254,41.46827,47.022762,38.934208,1.7192606,2.5855327,1.4602401,0.1588849,0.21102327,0.14190917,10.110683,2021-01-01 09:01:20,0
-0.32166773,9.695558,-0.21578775,42.716522,48.092697,37.94707,1.7598618,2.7277637,1.6532842,0.16503711,0.24556677,0.16038509,10.231677,2021-01-01 09:01:30,0
-0.16364552,-9.757425,0.26735118,63.671116,67.51893,50.561607,3.9235966,4.3051805,3.2432437,0.35116124,0.3979351,0.34802744,12.0435095,2021-01-01 09:01:40,0
-8.043328,-5.209877,-1.8653082,70.45734,64.71813,67.383224,2.8215075,2.0696707,2.8182542,0.2484353,0.18861592,0.2620265,10.550518,2021-01-01 09:01:50,0
2.269707,9.075954,-0.8850695,44.059795,39.272808,35.391464,2.9351833,2.8976276,2.3170836,0.2643071,0.2613152,0.23065937,10.746493,2021-01-01 09:02:00,0
