time,ACTIVITY,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,RESULTANT
2021-01-01 09:00:00,0,-1.17231,9.57064,0.406854,35.2727,50.2632,37.3077,1.59095,3.2950800000000005,1.60941,0.14117000000000002,0.283329,0.1598,10.0518
2021-01-01 09:00:10,0,-1.50497,9.56583,0.432132,37.6,51.5789,39.0,1.77817,3.3349,1.6829599999999998,0.16122899999999998,0.287955,0.157993,10.1171
2021-01-01 09:00:20,0,-1.6866,9.38592,0.474974,36.6038,49.2308,38.2,1.70505,3.14244,1.69288,0.1562,0.269307,0.159797,9.98384
2021-01-01 09:00:30,0,-1.7466099999999998,9.54297,0.495973,35.4545,47.5,36.1538,1.62315,3.3279,1.57944,0.141721,0.283364,0.154396,10.106
2021-01-01 09:00:40,0,-1.07708,9.63711,0.619938,35.9259,51.3514,35.4545,1.48888,3.01196,1.45931,0.131537,0.256423,0.140283,10.0521
2021-01-01 09:00:50,0,-1.59254,9.55948,0.293671,37.6923,49.4872,37.3077,1.69297,3.18166,1.59159,0.153693,0.27470900000000004,0.15501199999999998,10.1221
2021-01-01 09:01:00,0,-1.82659,9.57365,0.287647,37.5,50.7895,34.2105,1.64575,3.23433,1.62615,0.145932,0.27915,0.151522,10.1414
2021-01-01 09:01:10,0,-1.89837,9.54464,0.372899,36.9811,50.2778,40.8511,1.5536,3.02638,1.68209,0.140023,0.254504,0.159331,10.1264
2021-01-01 09:01:20,0,-1.90461,9.54443,0.393636,36.2264,48.9744,41.0417,1.4819,3.09543,1.56899,0.130393,0.264691,0.148817,10.0887
2021-01-01 09:01:30,0,-1.92541,9.59277,0.434418,35.9259,42.7907,36.6038,1.65572,2.84983,1.49892,0.151229,0.24397800000000006,0.134758,10.1591
2021-01-01 09:01:40,0,-1.98047,9.5672,0.5783189999999999,35.5556,52.0,37.4,1.45165,2.79845,1.38782,0.12623800000000002,0.236886,0.141943,10.0989
2021-01-01 09:01:50,0,-2.02712,9.55181,0.42548,36.8627,46.1905,37.2549,1.53361,2.8361,1.48173,0.137483,0.241223,0.142671,10.1105
2021-01-01 09:02:00,0,-2.12637,9.50989,0.435487,35.0,45.9524,36.7925,1.57525,2.9222200000000003,1.58255,0.138855,0.251445,0.14611,10.1083
2021-01-01 09:02:10,0,-2.0549,9.66295,0.388994,37.6471,43.4091,39.7917,1.46904,2.79597,1.61984,0.127343,0.239284,0.14942,10.2149
2021-01-01 09:02:20,0,-2.15013,9.55572,0.394461,36.9231,43.5714,35.9259,1.47826,2.85775,1.4941,0.129462,0.248202,0.145512,10.1322
2021-01-01 09:02:30,0,-2.18652,9.52696,0.320537,35.1852,56.1765,39.0,1.71301,2.80237,1.4728,0.154183,0.23915100000000006,0.141388,10.14
2021-01-01 09:02:40,0,-2.3572900000000003,9.52867,0.328585,38.0392,49.7436,39.5833,1.62327,2.94061,1.46789,0.140435,0.251666,0.136375,10.1609
2021-01-01 09:02:50,1,-2.17124,9.43532,0.211333,36.2963,41.5217,35.9259,1.66552,3.19944,1.47964,0.162682,0.29140900000000003,0.141795,10.2354
2021-01-01 09:03:00,1,-1.66638,8.19748,-1.01893,31.6667,49.7368,31.4516,2.49436,6.96156,2.49531,0.25613800000000003,0.554904,0.2546,10.9159
2021-01-01 09:03:10,1,-1.29909,8.43627,-1.02464,32.3333,50.7895,33.4483,2.1617900000000003,6.75862,2.54639,0.228597,0.537451,0.239497,10.8644
2021-01-01 09:03:20,1,-1.18797,8.74864,-1.08957,31.4754,55.4286,36.2264,2.26018,6.8235899999999985,2.62709,0.220772,0.53762,0.236361,11.0365
2021-01-01 09:03:30,1,-0.8616870000000001,8.83208,-1.0544,31.2903,54.5455,36.5385,2.07083,6.29995,2.48886,0.192087,0.5102439999999999,0.229304,10.8385
2021-01-01 09:03:40,1,-1.4495,8.50878,-1.2533,31.6393,48.1579,32.2951,2.556,6.91297,2.75201,0.260299,0.53888,0.25365,10.982
2021-01-01 09:03:50,1,-0.914239,8.54955,-1.7110299999999998,31.8033,54.0,37.451,2.1514,6.89112,2.74521,0.212845,0.547652,0.259339,10.9528
2021-01-01 09:04:00,1,-0.947716,8.28528,-1.20255,32.6667,59.0625,32.2034,2.3863,6.77487,2.8904400000000003,0.229664,0.539175,0.26529899999999995,10.8126
2021-01-01 09:04:10,1,-0.784215,8.7279,-1.57992,32.931,55.4286,33.8596,2.3793,6.8906399999999985,2.79511,0.223509,0.5473279999999999,0.264198,11.2039
2021-01-01 09:04:20,1,-0.979023,8.234869999999999,-1.27905,31.129,52.4324,30.1562,2.2277,6.61124,3.00257,0.226155,0.527981,0.28120700000000004,10.7763
2021-01-01 09:04:30,1,-1.02098,8.36853,-1.60699,32.0339,53.4286,36.4151,2.24875,6.5933,2.99963,0.232587,0.5275340000000001,0.27310100000000004,10.9545
2021-01-01 09:04:40,1,-1.08534,8.08582,-1.06863,32.8814,53.8889,33.2759,2.58106,6.77157,3.13857,0.254673,0.5401130000000001,0.288706,10.8664
